session,id,title,url,authors,summary
A1:NLPモデルの評価・安全性・信頼性(1)3月11日（火） 8:30-10:00   A会場(2Fコンベンションホール1+2),A1-1,LLMのアテンションヘッドに着目したジェイルブレイク攻撃の分析と防御手法の提案,/proceedings/annual_meeting/2025/pdf_dir/A1-1.pdf,"○新井 雅稀 (早大), 芝原 俊樹, 千葉 大紀, 秋山 満昭 (NTT), 内田 真人 (早大)",大規模言語モデル（Large Language Model; LLM）はジェイルブレイク攻撃に対して脆弱であり，違法行為や非倫理的な内容などの有害な出力をしてしまうリスクがある．このジェイルブレイク攻撃に対して，LLM が有害な出力をしてしまうメカニズムは十分に解明されていない．本研究ではLLM のアテンションヘッドに着目して内部状態の分析を行い，数%のアテンションヘッドが有害な出力に大きく関与していることを明らかにする．また，分析結果を利用して，アテンションヘッドへの介入による防御手法を提案する．実験の結果，提案手法によ性能の低下を3%以内に抑えつつ，攻撃成功率を2，3%程度まで低下させられることが確認された．
A1:NLPモデルの評価・安全性・信頼性(1)3月11日（火） 8:30-10:00   A会場(2Fコンベンションホール1+2),A1-2,Decoding the Mind of Large Language Models: A Quantitative Analysis of Thought Processes and Biases,/proceedings/annual_meeting/2025/pdf_dir/A1-2.pdf,"○◊廣瀬 万響, 内田 真人 (早大)","This study proposes a novel framework for evaluatingLarge Language Models (LLMs) by uncovering their ideo-logical biases through a quantitative analysis of 436 binary-choice questions. Applying the framework to ChatGPT andGemini, we found that while both models show consistentopinions, their ideologies diﬀer between models and lan-guages. Both models also exhibited problematic biases,with some responses potentially having negative societalimpacts. These ﬁndings highlight the need to address ide-ological and ethical considerations in LLM evaluation, andthe proposed framework oﬀers a ﬂexible method for assess-ing LLM behavior and developing more socially alignedAI systems."
A1:NLPモデルの評価・安全性・信頼性(1)3月11日（火） 8:30-10:00   A会場(2Fコンベンションホール1+2),A1-3,有害性評価と巻き戻しによる LLM の有害コンテンツ生成回避,/proceedings/annual_meeting/2025/pdf_dir/A1-3.pdf,"○山下 智也, 岡 佑依, 山中 友貴, 山田 真徳 (NTT)",大規模言語モデル(LLM) の普及に伴い，安全性の高いLLM への要望が高まっている．本稿ではLLMの安全性の1 要素であるLLM が有害コンテンツを出力しないことに着目し，有害コンテンツを軽量かつ効果的に回避する手法を提案する．提案手法ではトークン列生成を行う生成LLM と，トークン列の有害性を評価する評価LLM を用いて，適宜トークン列の有害性を評価しつつ推論を行うことで，有害コンテンツを含まないトークン列の生成を目指す．
A1:NLPモデルの評価・安全性・信頼性(1)3月11日（火） 8:30-10:00   A会場(2Fコンベンションホール1+2),A1-4,大規模言語モデルによる自己説明の忠実性は改善するか？,/proceedings/annual_meeting/2025/pdf_dir/A1-4.pdf,"○土井 智暉 (東大), 磯沼 大 (東大/エディンバラ大/NII), 谷中 瞳 (東大)",大規模言語モデルによる自己説明は，ブラックボックスなモデルの挙動を解釈可能な表現に変換することが期待できる．しかし近年，自己説明が必ずしもモデルの挙動を忠実に反映しておらず、自己説明と実際の挙動が矛盾しうることが明らかになっている．本研究では，入力文中で予測に最も影響を与える語を特定し，これを教師信号として継続学習することによって，自己説明の忠実性が改善するかを検証する．実験により，複数の分類タスクおよび説明様式の条件下で継続学習の有効性を検証し，とくに未学習の分類タスクおよび説明様式においても忠実性が改善することを確認した．
A1:NLPモデルの評価・安全性・信頼性(1)3月11日（火） 8:30-10:00   A会場(2Fコンベンションホール1+2),A1-5,検索拡張生成が信頼度に及ぼす影響：医療分野における分析,/proceedings/annual_meeting/2025/pdf_dir/A1-5.pdf,"○尾崎 慎太郎 (NAIST), 加藤 優汰, 馮 思遠, 富田 雅代 (東大), 林 和樹 (NAIST), 小原 涼馬, 小山田 昌史 (NEC), 林 克彦 (東大), 上垣外 英剛, 渡辺 太郎 (NAIST)","検索拡張生成(RAG) は, 外部情報を活用することで, 大規模言語モデル(LLM) の知識を補完し, 質問に対する応答の精度を改善させる. この手法は, 最新の情報を活用できる利点を活かし, 多様な分野で広く応用されている. 先行研究の多くは性能改善に注力する一方, RAG を利用した際の出力の信頼度に関する特性については十分に研究されていない. 金融, 医療, 医学などの出力への信頼性が強く要求される分野で, 出力の信頼度を分析することは重要な課題である. 本研究では, 医療分野における多様な課題および推論モデルを対象に, RAG が信頼度に与える影響を調査する. 具体的には, LLM の予測確率を出力として扱い, 期待較正誤差と適応較正誤差を出力確率に基づいて計算することで信頼度を評価する. さらに, プロンプト内の取得文書の順序が信頼度に影響するかについても分析を行う. 結果として, モデル,取得する書類数や埋め込み数などの設定, および入力プロンプトの形式に応じて, 信頼度と精度に大きな変動が見られることが明らかとなった. これらの結果は, 特定のモデルおよび条件に基づいてRAG で用いる構成を最適化する必要性を強調している.1）"
A1:NLPモデルの評価・安全性・信頼性(1)3月11日（火） 8:30-10:00   A会場(2Fコンベンションホール1+2),A1-6,手動設計の敵対的プロンプト手法の体系的分類,/proceedings/annual_meeting/2025/pdf_dir/A1-6.pdf,"○佐々木 佑, 関谷 勇司 (東大)","昨今, 大規模言語モデルは世界中で広く使われるようになったが, 安全性への懸念が叫ばれている. 本研究では, 手動設計の敵対的プロンプトに対し, 既存のデータセットを調査することで, 多種多様な敵対的プロンプト手法を把握し, それらを体系的に分類することを目指した. 既存データセットを人手で調査し, 最終的には, 敵対的プロンプトを大小49 個のカテゴリに分類した. また, データセット内で用いられた手法を数え上げることで, 手法の偏りを明らかにした. 最後に, 本分類の各カテゴリに対して敵対的プロンプト例を作成し, Github 上に公開した. https://github.com/Tasuku-Sasaki-lab/Adversarial-Prompt-Classification 本研究を通じて, 手動設計の敵対的プロンプトの手法の実態が明らかとなった. これらの成果は, LLM に対するRedTeaming テストや, 敵対的プロンプト防御手法の開発を通じて, LLM のサイバーセキュリティ向上に貢献するだろう."
B1:計算・形式言語学(1)3月11日（火） 8:30-10:00   B会場(1F会議室102),B1-1,自然言語における冪則と統語構造の関係の再考,/proceedings/annual_meeting/2025/pdf_dir/B1-1.pdf,"○中石 海, 吉田 遼, 梶川 康平, 福島 孝治, 大関 洋平 (東大)",自然言語の系列において，要素間の相関は距離について冪的に減衰することが知られている．これは，系列中のある要素を変更すると，その影響がどれだけ離れた要素にも及び得ることを意味する．先行研究[1] は，このような特徴的現象を，系列の背後にある階層的な統語構造と結びつけて説明している．しかし，この説明は統語構造に関するいくつかの仮定に依拠しており，それらの仮定が実際に自然言語で成り立つかどうかは検証されていない．そこで，本研究は，ツリーバンクを用いて統語構造の統計的性質を調べ，先行研究の仮定がいずれも成り立たないことを明らかにする．
B1:計算・形式言語学(1)3月11日（火） 8:30-10:00   B会場(1F会議室102),B1-2,自然言語推論への応用を志向したセマンティックパージングの性能評価,/proceedings/annual_meeting/2025/pdf_dir/B1-2.pdf,"○船蔵 颯 (慶應大/京大/キカガク), 峯島 宏次 (慶應大)",本研究は、セマンティックパージングで広く採用されている、Smatch をはじめとするグラフマッチングによる評価指標が、セマンティックパージングの主たる下流タスクのひとつである自然言語推論における性能を必ずしも保証しないということを示すものである。上記を示すために、ファインチューニングおよびIn-context learning に基づくパーザを構築し、グラフマッチングによる評価と自然言語推論を志向した評価をそれぞれのパーザに適用した。結果として、グラフマッチングによる評価と自然言語推論への応用可能性との間にはギャップがあるということを報告する。
B1:計算・形式言語学(1)3月11日（火） 8:30-10:00   B会場(1F会議室102),B1-3,CCG 統語解析器 lightblue と定理証明器 wani によるJSeM Verbs データセットの自動推論,/proceedings/annual_meeting/2025/pdf_dir/B1-3.pdf,"○松原 舞, 富田 朝, 戸次 大介 (お茶大)",自然言語理解の研究において，大規模言語モデル(LLM) とは対照的なアプローチとして，合理主義自然科学のパラダイムに基づく言語学的パイプラインの研究が進展している．これは理論言語学に基づく統語解析，意味合成，自動証明のモジュールを接続したものであり，仮説検証を通じてモデルを改善する点で、経験主義的なLLM と相補的な関係にある．本論文では，CCG に基づく統語解析器lightblueと，DTS のための定理証明器wani を組み合わせた自然言語推論システムを用いて，JSeM 日本語テストセットのVerb セクションの推論問題を解くことを試みた．この試みは、システムの評価，エラー分析，理論へのフィードバックを含む，合理主義的計算言語学の実践例の一つである．
B1:計算・形式言語学(1)3月11日（火） 8:30-10:00   B会場(1F会議室102),B1-4,一般化交差効果に対する型理論的アプローチ,/proceedings/annual_meeting/2025/pdf_dir/B1-4.pdf,"○松岡 大樹 (東大), 戸次 大介 (お茶大), 谷中 瞳 (東大)",理論言語学における重要な発見の1 つに，代名詞の特定の解釈が統語構造により制限されるという「交差効果」がある．交差効果は統語構造上の移動操作に基づいて分析されることが標準的であるが，近年，このような統語的な分析では説明しきれない，より一般化された形の交差効果が提唱されている．本研究はこの課題に対して，型理論に基づくアプローチを提案する．具体的には，依存型意味論という枠組みを用いて，意味表示としての型が持つ構造的関係を介して交差効果を分析することにより，従来よりも統一性の高い理論が得られることを主張する．
